,"ABX3 (A=Cs,Ru,FA,MA,etc.; B=Pb,Sn,Ge,etc.; X=I,Br,Cl,BF4,PF6,SCN,etc.)",,,,,,,,,,,,,,,,,,,,
Formula,A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE,UV-Vis,Stability,Reference,A,B,X
(Cs0.25MA0.75)0.25 FA0.75Pb(I0.83Br0.17)3,Cs/0.0625,MA/0.1875,FA/0.75,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.045,20.7,14.3,,,,Cs/MA/FA,Pb,I/Br
(Cs0.25MA0.75)0.25 FA0.75Pb(I0.83Br0.17)3,Cs/0.0625,MA/0.1875,FA/0.75,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.021,20.9,12.4,,,,Cs/MA/FA,Pb,I/Br
(Cs0.21MA0.79)0.25 FA0.75Pb(I0.83Br0.17)3,Cs/0.0525,MA/0.1975,FA/0.75,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.054,20.4,15.9,,,,Cs/MA/FA,Pb,I/Br
(Cs0.21MA0.79)0.25 FA0.75Pb(I0.83Br0.17)3,Cs/0.0525,MA/0.1975,FA/0.75,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.022,20.7,15.2,,,,Cs/MA/FA,Pb,I/Br
(Cs0.15MA0.85)0.25 FA0.75Pb(I0.83Br0.17)3,Cs/0.0375,MA/0.6375,FA/0.75,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.05,20.9,16,,,,Cs/MA/FA,Pb,I/Br
(Cs0.15MA0.85)0.25 FA0.75Pb(I0.83Br0.17)3,Cs/0.0375,MA/0.6375,FA/0.75,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.06,21.1,16.8,,,,Cs/MA/FA,Pb,I/Br
(Cs0.10MA0.90)0.25 FA0.75Pb(I0.83Br0.17)3,Cs/0.025,MA/0.225,FA/0.75,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.076,21,14.9,,,,Cs/MA/FA,Pb,I/Br
(Cs0.10MA0.90)0.25 FA0.75Pb(I0.83Br0.17)3,Cs/0.025,MA/0.225,FA/0.75,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.049,20.7,16.3,,,,Cs/MA/FA,Pb,I/Br
(Cs0.05MA0.95)0.25 FA0.75Pb(I0.83Br0.17)3,Cs/0.0125,MA/0.2375,FA/0.75,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,0.913,17.9,8.5,,,,Cs/MA/FA,Pb,I/Br
(MA0.17)0.25 FA0.75Pb(I0.83Br0.17)3,,MA/1.0,FA/0.75,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,0.906,18.6,10.1,,,,MA/FA,Pb,I/Br
(Cs0.17MA0.83)0.17FA0.83Pb(I0.83Br0.17)3,Cs/0.0289,MA/0.1411,FA/0.83,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.061,20.4,15.8,,,,Cs/MA/FA,Pb,I/Br
(Cs0.17MA0.83)0.17FA0.83Pb(I0.83Br0.17)3,Cs/0.0289,MA/0.1411,FA/0.83,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.059,20.5,15.4,,,,Cs/MA/FA,Pb,I/Br
(Cs0.14MA0.86)0.17FA0.83Pb(I0.83Br0.17)3,Cs/0.0238,MA/0.1462,FA/0.83,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.105,20.4,16,,,,Cs/MA/FA,Pb,I/Br
(Cs0.14MA0.86)0.17FA0.83Pb(I0.83Br0.17)3,Cs/.0.0238,MA/0.1462,FA/0.83,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.083,20.9,16.3,,,,Cs/MA/FA,Pb,I/Br
(Cs0.10MA0.90)0.17FA0.83Pb(I0.83Br0.17)3,Cs/0.017,MA/0.153,FA/0.83,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.078,20.9,16.2,,,,Cs/MA/FA,Pb,I/Br
(Cs0.10MA0.90)0.17FA0.83 Pb(I0.83Br0.17)3,Cs/0.017,MA/0.153,FA/0.83,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.071,21,16.2,,,,Cs/MA/FA,Pb,I/Br
(Cs0.05MA0.95)0.17FA0.83 Pb(I0.83Br0.17)3,Cs/0.0085,MA/0.1615,FA/0.83,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.044,19.4,14.6,,,,Cs/MA/FA,Pb,I/Br
(Cs0.05MA0.95)0.17FA0.83 Pb(I0.83Br0.17)3,Cs/0.0085,MA/0.1615,FA/0.83,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.092,20.3,15.5,,,,Cs/MA/FA,Pb,I/Br
(MA1.0)0.17FA0.83 Pb(I0.83Br0.17)3,,MA/1.0,FA/0.83,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.079,18.8,13.4,,,,MA/FA,Pb,I/Br
(MA1.0)0.17FA0.83 Pb(I0.83Br0.17)3,,MA/1.0,FA/0.83,Pb/1,,,I/0.83,Br/0.17,,,spiro-OMeTAD,TiO2,1.034,18.9,12.9,,,Grätzel2016_1989,MA/FA,Pb,I/Br
MAPbI3,,MA/1.0,,Pb/1,,,I/1.0,,,,BCP,poly-TDP,1.01,19,13.2,,,,MA,Pb,I
(Al-acac3)0.075MAPbI3,Al3+/0.075,MA/1.0,,Pb/1,,,I/1.0,,,,BCP,poly-TDP,1.02,19.2,13.6,,,,Al/MA,Pb,I
(Al-acac3)0.15MAPbI3,Al3+/0.15,MA/1.0,,Pb/1,,,I/1.0,,,,BCP,poly-TDP,1.06,21.2,15.8,,,,Al/MA,Pb,I
(Al-acac3)0.3MAPbI3,Al3+/0.3,MA/1.0,,Pb/1,,,I/1.0,,,,BCP,poly-TDP,1.05,19,14.2,,,,Al/MA,Pb,I
(Al-acac3)0.75MAPbI3,Al3+/0.75,MA/1.0,,Pb/1,,,I/1.0,,,,BCP,poly-TDP,0.99,15.3,9.8,,,,Al/MA,Pb,I
(Al-acac3)1.5MAPbI3,Al3+/1.5,MA/1.0,,Pb/1,,,I/1.0,,,,BCP,poly-TDP,0.99,8,5.5,,, Snaith2016_2892,Al/MA,Pb,I
FA0.83Cs0.17Pb(I0.6Br0.4)3 ,FA/0.83,Cs/0.17,,Pb/1,,,I/0.6,Br/0.4,,,spiro-OMeTAD,Doped c60,1.06,22.1,16.8,,,Snaith2017_1604186,FA/Cs,Pb,I/Br
MAPb(I)3,MA/1.0,,,Pb/1,,,I/1.0,,,,spiro-OMeTAD,glass,0.88,18.42,7.5,,,,MA,Pb,I
MAPb(I0.97Br0.03)3,MA/1.0,,,Pb/1,,,I/0.97,Br/0.03,,,spiro-OMeTAD,glass,0.97,18.96,11.2,,,,MA,Pb,I/Br
MAPb(I0.89Br0.11)3,MA/1.0,,,Pb/1,,,I/0.89,Br/0.11,,,spiro-OMeTAD,glass,1.01,22.38,15.8,,,,MA,Pb,I/Br
MAPb(I0.80Br0.20)3,MA/1.0,,,Pb/1,,,I/0.80,Br/0.20,,,spiro-OMeTAD,glass,1.09,19.86,13.8,,,,MA,Pb,I/Br
MAPb(I0.71Br0.29)3,MA/1.0,,,Pb/1,,,I/0.71,Br/0.29,,,spiro-OMeTAD,glass,0.92,13.54,4.6,,,Wong2016_16191,MA,Pb,I/Br
(FAPbI3)0.95(MAPbBr3)0.05,FA/0.95,Ma/0.5,,Pb/1,,,I/0.95,Br/0.5,,,spiro-OMeTAD,TiO2,0.98,21.67,10.1,,,,FA/MA,Pb,I/Br
(FAPbI3)0.85(MAPbBr3)0.15,FA/0.85,Ma/0.15,,Pb/1,,,I/0.85,Br/0.15,,,spiro-OMeTAD,TiO2,1.11,23.93,10.9,,,Tian2017_3320,FA/MA,Pb,I/Br
(FAPbI3)0.85(MAPbBr3)0.15,FA/0.85,Ma/0.15,,Pb/1,,,I/0.85,Br/0.15,,,spiro-OMeTAD,SnOx,0.4,0.52,0.1,,,Miyasaka2016_382,FA/MA,Pb,I/Br
MA1.0PbI3.0,MA/1,,,Pb/1,,,I/1.0,,,,spiro-OMeTAD,TiO2,0.802,8.49,3.38,,,,MA,Pb,I
MA0.95Cs0.05PbI3,MA/0.95,Cs/0.05,,Pb/1,,,I/1.0,,,,spiro-OMeTAD,TiO2,0.862,13.5,6.59,,,,MA/Cs,Pb,I
MAPb0.97Sn0.03I2.94Br0.06,MA/1.0,,,Pb/0.97,Sn/0.03,,I/2.94,Br/0.06,,,spiro-OMeTAD,TiO2,0.826,11.1,5.24,,,,MA,Pb/Sn,I/Br
MAPb0.95Sn0.05I2.90Br0.10,MA/1.0,,,PB/0.95,Sn/0.05,,I/2.90,Br/0.10,,,spiro-OMeTAD,TiO2,0.904,14.1,7.59,,,,MA,Pb/Sn,I/Br
MAPb0.90Sn0.10I2.80Br0.20,MA/1.0,,,PB/0.90,Sn/0.10,,I/2.80,Br/0.20,,,spiro-OMeTAD,TiO2,0.848,9.68,4.74,,,,MA,Pb/Sn,I/Br
