MA/FA,MA,Al/MA,FA/Cs,MA/Cs,FA,MA/HA,FA/Rb,Cs,MA/Ag,Pb,Pb/Sn,Pb/Sb,Pb/Co,Pb/Cu,Pb/Fe,Pb/Mg,Pb/Mn,Pb/Ni,Pb/Sr,Pb/Zn,Sn,Ge,I/Br,I,I/SCN,I/Cl,Br,PCE
0.17,,,,,,,,,,1,,,,,,,,,,,,,0.83,,,,,13.4
0.17,,,,,,,,,,1,,,,,,,,,,,,,0.83,,,,,12.9
,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,13.2
,,0.075,,,,,,,,1,,,,,,,,,,,,,,1,,,,13.6
,,0.15,,,,,,,,1,,,,,,,,,,,,,,1,,,,15.8
,,0.3,,,,,,,,1,,,,,,,,,,,,,,1,,,,14.2
,,0.75,,,,,,,,1,,,,,,,,,,,,,,1,,,,9.8
,,1.5,,,,,,,,1,,,,,,,,,,,,,,1,,,,5.5
,,,0.83,,,,,,,1,,,,,,,,,,,,,0.6,,,,,16.8
,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,7.5
,1,,,,,,,,,1,,,,,,,,,,,,,0.97,,,,,11.2
,1,,,,,,,,,1,,,,,,,,,,,,,0.89,,,,,15.8
,1,,,,,,,,,1,,,,,,,,,,,,,0.8,,,,,13.8
,1,,,,,,,,,1,,,,,,,,,,,,,0.71,,,,,4.6
0.05,,,,,,,,,,1,,,,,,,,,,,,,0.95,,,,,10.1
0.15,,,,,,,,,,1,,,,,,,,,,,,,0.85,,,,,10.9
,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,3.38
,,,,0.95,,,,,,1,,,,,,,,,,,,,,1,,,,6.59
,1,,,,,,,,,,0.97,,,,,,,,,,,,0.98,,,,,5.24
,1,,,,,,,,,,0.95,,,,,,,,,,,,0.967,,,,,7.59
,1,,,,,,,,,,0.9,,,,,,,,,,,,0.933,,,,,4.74
,,,,0.95,,,,,,,0.95,,,,,,,,,,,,0.967,,,,,8.25
,,,,0.9,,,,,,,0.9,,,,,,,,,,,,0.933,,,,,6.5
,,,,0.95,,,,,,,0.95,,,,,,,,,,,,0.95,,,,,6.5
,,,,0.9,,,,,,,0.9,,,,,,,,,,,,0.9,,,,,5.94
0.11,,,,,,,,,,1,,,,,,,,,,,,,0.89,,,,,17.8
0.16,,,,,,,,,,1,,,,,,,,,,,,,0.84,,,,,18.3
0.22,,,,,,,,,,1,,,,,,,,,,,,,0.78,,,,,17
0.66,,,,,,,,,,1,,,,,,,,,,,,,0.34,,,,,15.9
0.33,,,,,,,,,,1,,,,,,,,,,,,,0.67,,,,,14.9
,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,14.5
,,,,0.95,,,,,,1,,,,,,,,,,,,,0.95,,,,,14.9
,,,,0.9,,,,,,1,,,,,,,,,,,,,0.9,,,,,15.9
,,,,0.8,,,,,,1,,,,,,,,,,,,,0.8,,,,,12.7
,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,14.57
0.1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,15.27
0.2,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,15.58
0.3,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,15.78
0.4,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,16.48
0.5,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,15.67
,,,0.9,,,,,,,1,,,,,,,,,,,,,,1,,,,13.97
,,,0.9,,,,,,,1,,,,,,,,,,,,,,,0.975,,,15.64
,,,0.9,,,,,,,1,,,,,,,,,,,,,,,0.95,,,16.2
,,,0.9,,,,,,,1,,,,,,,,,,,,,,,0.925,,,13.72
,,,0.9,,,,,,,1,,,,,,,,,,,,,,,0.9,,,11.01
,,,,,1,,,,,1,,,,,,,,,,,,,,,0.9625,,,8.8
,,,0.95,,,,,,,1,,,,,,,,,,,,,,,0.9625,,,10.5
,,,0.9,,,,,,,1,,,,,,,,,,,,,,,0.9625,,,11.1
,,,0.85,,,,,,,1,,,,,,,,,,,,,,,0.9625,,,3.5
